title,summary,detail_url,resource_type
Experience Profile,"Your experience matters!  From classes to part-time jobs, every activity reveals skills you can use in your career. Use our Experience Profile to uncover strengths and plan your future. Start now and begin shaping the career you want!",https://successportal.conestogac.on.ca/students/docs/detail/317?filename=Experience-Profile.pdf,doc
16 Days of Activism Against Gender-Based Violence,An interactive look at events and actions you can make during the 16 Day campaign.,https://successportal.conestogac.on.ca/students/infoPages/detail/35/16-days-of-activism-against-ge,link
What does Career Services do?,"Career Services offers help with all things career and employment, from career planning to job search help, resume support, and more. 

	This short video explains a bit more about what Career Services does:",https://successportal.conestogac.on.ca/students/faqs/detail/95/what-does-career-services-do,faq
How do I find a job?,"You can book an appointment with a Career Advisor to get help with your job search, career planning, and developing your resume. 
You can also access resources about job search and more at the Career Services page on the Student Success Portal.",https://successportal.conestogac.on.ca/students/faqs/detail/94/how-do-i-find-job,faq
I want to work while I’m studying at Conestoga – how can I find a job?,"When looking for work, it is important to find something that will allow you to prioritize your studies. Even if you can work full-time hours (35+ hours per week) you should apply to part-time jobs as these types of jobs usually have flexible schedules. Please be mindful of the hours that you work; succeeding in your studies should be your top...",https://successportal.conestogac.on.ca/students/faqs/detail/34/i-want-to-work-while-i-m-study,faq
How can I get help with my resume?,"Current students are encouraged to book an appointment with a Career Advisor for help with their resume. 
Career Services also offers workshops and resume resources. Please visit the Career Services page for more information.",https://successportal.conestogac.on.ca/students/faqs/detail/33/how-can-i-get-help-with-my-res,faq
Accommodated Test Booking Process,How to book an accommodated test - student instructions,https://successportal.conestogac.on.ca/students/docs/detail/316?filename=Accommodated-Test-Booking-Process-Student.pdf,doc
Fraudulent Jobs and Scam Awareness,"When searching for a job, it is important to know the signs of a fraudulent job posting or employment scam. Learn about safe job search practices, how you can protect yourself from employment fraud, and where to go more for information.",https://successportal.conestogac.on.ca/students/docs/detail/38?filename=Fraudulent-Employers-and-Common-Job-Search-Scams.pdf,doc
Accessing Career Services,Learn how to access Career Services and stay connected with us.,https://successportal.conestogac.on.ca/students/docs/detail/315?filename=Accessing-Career-Services-General-Information-Tip-Sheet.pdf,doc
Career Assessments,learn about career assessments and how they can assist you with your career planning.,https://successportal.conestogac.on.ca/students/docs/detail/110?filename=Career-Assessments.pdf,doc
Build a LinkedIn Profile,"How to build a profile on LinkedIn, the world's largest professional networking site.",https://successportal.conestogac.on.ca/students/docs/detail/20?filename=Build-a-LinkedIn-Profile.pdf,doc
In-Person Job fair Success,How to stand out to recruiters at a job or career fair.,https://successportal.conestogac.on.ca/students/docs/detail/35?filename=In-Person-Job-Fair-Success.pdf,doc
Co-Curricular Record,"The Co-Curricular Record (CCR) is an official document, complementary to an academic transcript, which recognizes and records your learning through approved co-curricular experiences at Conestoga College.",https://successportal.conestogac.on.ca/students/infoPages/detail/16/co-curricular-record,link
Student Mental Health Policy,Student Mental Health Policy,https://successportal.conestogac.on.ca/students/infoPages/detail/54/student-mental-health-policy,link
Get Involved Guide,Get Involved Guide Editions,https://successportal.conestogac.on.ca/students/infoPages/detail/56/get-involved-guide,link
"Creative Industries Resume, Chronological Style",A strong resume is key to landing interviews. This chronological style resume for a student or new grad seeking employment in the creative industries is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/309?filename=Graphic-Design-Resume.pdf,doc
Breathing Space Guidelines,Here are some things to keep in mind while using the Breathing Space,https://successportal.conestogac.on.ca/students/docs/detail/314?filename=Breathing-Space-Disclaimer_DIGITAL.pdf,doc
Managing Your Time,"Learn how to prioritize, approach procrastination, and plan your time.",https://successportal.conestogac.on.ca/students/infoPages/detail/29/managing-your-time,link
Fall 2025 Planner,Stay organized this semester!,https://successportal.conestogac.on.ca/students/docs/detail/313?filename=2025-Fall_Planner_DIGITAL_V1.pdf,doc
SSA Drop-In,Drop-in options,https://successportal.conestogac.on.ca/students/infoPages/detail/49/ssa-drop-in,link
Grad Launch Resource Guide,"Congratulations, soon-to-be graduate! As you prepare for life after graduation, this guide is designed to help you wrap up your time as a student and make the most of the resources available to you as a new graduate.",https://successportal.conestogac.on.ca/students/docs/detail/297?filename=SE-_-Alumni-Digital-Resource-Guide.pdf,doc
First Days in Canada,Identify what you should do the first days in Canada,https://successportal.conestogac.on.ca/students/docs/detail/312?filename=First-Days-in-Canada_Aug-2025.pdf,doc
Arrival Checklist,Checklist of things to do before coming to Canada,https://successportal.conestogac.on.ca/students/docs/detail/311?filename=Arrival-Checklist.pdf,doc
"Missed Appointment, Late Arrival, and Cancellation Guidelines","Guidelines around missed appointment, late arrivals and cancellations",https://successportal.conestogac.on.ca/students/infoPages/detail/55/missed-appointment-late-arriva,link
Student Success Colouring Book,Colouring book,https://successportal.conestogac.on.ca/students/docs/detail/310?filename=Student-Success-Colouring-Book_DIGITAL.pdf,doc
Student Success Services,Overview of all Student Success Services,https://successportal.conestogac.on.ca/students/infoPages/detail/34/student-success-services,link
Discontinuance and Reapplying,definition of discontinuance and reapplying,https://successportal.conestogac.on.ca/students/infoPages/detail/53/discontinuance-and-reapplying,link
Who is the Placement Officer/Contact for my program?,Alphabetical list of programs with assigned Placement Officer,https://successportal.conestogac.on.ca/students/infoPages/detail/24/who-is-placement-officer-conta,link
"Health & Life Sciences Resume, Chronological Style, Sample #1",A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the health and life sciences sector is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/308?filename=PSW-Resume.pdf,doc
WIL Nurse Support Program Contacts,WIL Nurse Support Program Contacts,https://successportal.conestogac.on.ca/students/infoPages/detail/27/wil-nurse-support-program-cont,link
Part-Time Job Resume Sample,"A sample resume appropriate for a student seeking part-time employment.  For more resume examples, visit our ‘Resume Samples’ topic area.",https://successportal.conestogac.on.ca/students/docs/detail/67?filename=Part-Time-Resume-Sample-Aug23.pdf,doc
Chronological Resume Sample,"A sample resume using the chronological resume format.  For more resume examples, visit our ‘Resume Samples’ topic area.",https://successportal.conestogac.on.ca/students/docs/detail/70?filename=Chronological-Sample-Resume-July23-%281%29.pdf,doc
How to create a resume on VMock (overview),Learn how to use templates found on VMock to create a resume.,https://successportal.conestogac.on.ca/students/videos/detail/35/how-to-create-resume-on-vmock-,link
Post-Graduate Chronological Sample Resume,"Sample of a chronological resume for an individual who completed a post-graduate certificate at Conestoga.  For more resume examples, visit our ‘Resume Samples’ topic area.",https://successportal.conestogac.on.ca/students/docs/detail/154?filename=Post-Grad-Chronological-Sample-Resume-July23.pdf,doc
Understanding Transferrable Skills,Understand more about how non-industry specific transferrable skills that are learned and developed in one situation can then be used and applied in another situation.,https://successportal.conestogac.on.ca/students/docs/detail/88?filename=Understanding-Transferrable-Skills-Tip-Sheet.pdf,doc
Writing Accomplishments Statements,Tips for how to write accomplishment statements to include on your resume.,https://successportal.conestogac.on.ca/students/docs/detail/15?filename=Accomplishment-Statements.pdf,doc
Computer Science and I/T Competency Style (functional) Resume Sample,"A sample resume for those seeking employment in the computer science or IT sector using a competency based (functional) format.  For more resume examples, visit our ‘Resume Samples’ topic area.",https://successportal.conestogac.on.ca/students/docs/detail/69?filename=IT-Competency-Resume-July23.pdf,doc
Action Verbs to Use in a Resume,The best resumes include lots of action verbs to describe your skills and work experience. This resource will help you identify action verbs to use in your resume.,https://successportal.conestogac.on.ca/students/docs/detail/6?filename=Action-Verbs.pdf,doc
How to log in to VMock resume and interview practice tool,Learn how to log into VMock - a resume and interview practice tool for full-time students.,https://successportal.conestogac.on.ca/students/videos/detail/33/how-to-log-in-to-vmock-resume-,link
How to Upload a Resume to VMock (overview),Step by step instructions for how to upload your resume to VMock.,https://successportal.conestogac.on.ca/students/videos/detail/34/how-to-upload-resume-to-vmock-,link
Creating a new resume using VMock (detailed instructions),This video provides detailed instructions on how to make a new resume using VMock.,https://successportal.conestogac.on.ca/students/videos/detail/36/creating-new-resume-using-vmoc,link
Resume Profile vs. Objective Statements,This resource explains how to develop a profile statement for your resume.,https://successportal.conestogac.on.ca/students/docs/detail/9?filename=Resume-Profile-Statements-and-Objectives.pdf,doc
Highlights of Qualifications,This resources provides examples of qualifications to include in a resume.,https://successportal.conestogac.on.ca/students/docs/detail/8?filename=Highlights-of-Qualifications.pdf,doc
Transferrable Skills Checklist,Transferrable Skills Checklist,https://successportal.conestogac.on.ca/students/docs/detail/89?filename=Transferrable-Skills-Checklist.pdf,doc
Understanding the Job Posting,How to carefully review a job posting to assess the responsibilities and qualifications associated with the position to assess your fit and customize your application.,https://successportal.conestogac.on.ca/students/docs/detail/43?filename=Understanding-the-Job-Posting.pdf,doc
Understanding Applicant Tracking Systems,Applicant Tracking Systems (ATS) are software programs used by employers that scan and store resumes and cover letters. This resource will help you understand how to format your resume so that it will work well with these systems.,https://successportal.conestogac.on.ca/students/docs/detail/16?filename=Understanding-Applicant-Tracking-Systems.pdf,doc
Resume Checklist,Guide for reviewing your resume.,https://successportal.conestogac.on.ca/students/docs/detail/11?filename=Resume-Checklist.pdf,doc
References,Tips for developing references to support your job search.,https://successportal.conestogac.on.ca/students/docs/detail/19?filename=Professional-References.pdf,doc
Portfolio Development,"A professional portfolio can be a powerful job search, networking and interview tool. This resources explores the different types of portfolios and the benefits of using a portfolio to support job search.",https://successportal.conestogac.on.ca/students/docs/detail/77?filename=Portfolio.pdf,doc
Functional Resume Worksheet,A tool to help you develop your resume using a functional format.,https://successportal.conestogac.on.ca/students/docs/detail/13?filename=Functional-Resume-Worksheet.pdf,doc
Creating a CV - Curriculum Vitae,A guide for developing a Curriculum Vitae.,https://successportal.conestogac.on.ca/students/docs/detail/14?filename=Curriculum-Vitae.pdf,doc
Components of a Resume,"It is important to determine which style of resume will best highlight your skills, qualifications and experience to the employer. This resource will help you understand the components of a resume and which style of resume is right for you.",https://successportal.conestogac.on.ca/students/docs/detail/5?filename=Components-of-a-Resume.pdf,doc
Chronological Resume Worksheet,A tool to help you develop your resume using a chronological format.,https://successportal.conestogac.on.ca/students/docs/detail/12?filename=Chronological-Resume-Worksheet.pdf,doc
"Engineering & Technology Resume, Chronological Style",A strong resume is key to landing interviews. This chronological style resume for a student or new grad seeking employment in engineering or technology is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/305?filename=Chronological-Sample-Resume.pdf,doc
"Computer Science & I/T Resume, Competency-Based (Functional) Style",A strong resume is key to landing interviews. This competency-based (functional) resume for a student or new grad seeking roles in computer science or I/T is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/307?filename=IT-Competency-Resume.pdf,doc
"Community Services Resume, Chronological Style",A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment within community services is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/304?filename=ECE-Resume-Sample.pdf,doc
"Health & Life Sciences Resume, Chronological Style, Sample #2",A strong resume is key to landing interviews.  This chronological style resume for a student or new graduate seeking employment in the health and life sciences field is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/303?filename=Nursing-Resume.pdf,doc
"Business Resume, Skills Based (Functional) Style",A strong resume is key to landing interviews. This skills-based (functional) resume for a student or new grad seeking employment in the business sector is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/302?filename=Office-Admin-Functional-Resume.pdf,doc
"Business Resume, Chronological Style",A strong resume is key to landing interviews.  This chronological style resume for a student or new graduate seeking employment in the field of business is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/301?filename=Post-Grad-Chronological.pdf,doc
"Trades & Apprenticeship Resume, Chronological Style, Sample #2",A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the trades is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/306?filename=Electrical-Technician-Resume-Sample.pdf,doc
"Hospitality & Culinary Arts Resume, Chronological Style, Part Time",A strong resume is key to landing interviews.  This chronological style resume for a student or new grad seeking employment in the hospitality or culinary field is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/300?filename=Part-Time-Resume.pdf,doc
"Trades & Apprenticeship Resume, Chronological Style, Sample #1",A strong resume is key to landing interviews.  This chronological style sample resume for a student or new graduate seeking employment in the trades is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/299?filename=Automotive-Service-Technician-Resume.pdf,doc
Academic Integrity FAQs for Students,Get answers to your questions related to Academic Integrity,https://successportal.conestogac.on.ca/students/docs/detail/286?filename=Academic-Integrity-FAQs-for-Students.pdf,doc
Assistive Software,We have the following software available at all Conestoga campuses within the designated assistive technology space(s).,https://successportal.conestogac.on.ca/students/infoPages/detail/20/assistive-software,link
Tracking Your Job Search and Networking,"Staying organized, focused and motivated as you prepare for and conduct your job search is an essential part of success.  Setting goals, tracking your applications and networking activities will help!",https://successportal.conestogac.on.ca/students/docs/detail/298?filename=Job-Search-and-Networking-Tracking-.pdf,doc
Understanding Apprenticeships,"An apprenticeship can lead to a very rewarding career.  Learn more about essential steps to help you explore trades, assess your fit, and understand the certification process so you can make informed decisions and successfully build your career in the trades!",https://successportal.conestogac.on.ca/students/docs/detail/296?filename=Understanding-Apprenticeships.pdf,doc
Apprenticeship Pathway,An apprenticeship involves several key steps.  Review this tip sheet to understand the process an apprentice will typically go through that leads to certification as a Journey Person.,https://successportal.conestogac.on.ca/students/docs/detail/295?filename=Apprenticeship-Pathway.pdf,doc
Working-on-Campus,"Conestoga College recruits numerous students for on-campus/work study opportunities each term. Various departments from Conestoga College will post their available student positions on the MyCareer 
job board.",https://successportal.conestogac.on.ca/students/docs/detail/175?filename=Working-On-Campus.pdf,doc
Job Search Websites,Helpful job search websites for students and new graduates seeking employment.,https://successportal.conestogac.on.ca/students/docs/detail/40?filename=Helpful-Job-Search-Websites.pdf,doc
Cold Calling,Cold calling is contacting an employer that you have not been in touch with before. It is one of the most effective ways of tapping into the hidden job market (jobs that are not advertised).  Learn how to use this tool to support your job search.,https://successportal.conestogac.on.ca/students/docs/detail/32?filename=Cold-Calling.pdf,doc
Working Part-Time When You Are A Student,"When you are looking for part-time work it is important to find something that will allow you to prioritize your studies. This resource discusses typical part-time student jobs, jobs on campus and common methods for searching for part-time work.",https://successportal.conestogac.on.ca/students/docs/detail/39?filename=Working-Part-Time-as-a-Student.pdf,doc
Disclosure and Accommodations in the Workplace,"This resource examines the timing, advantages, disadvantages and things to consider when considering disclosure and accommodations requests during the recruitment  process.",https://successportal.conestogac.on.ca/students/docs/detail/45?filename=Disclosure-and-Accommodations-in-the-Workplace.pdf,doc
"Equity, Diversity and Inclusion (EDI) in the Workplace Resources","This tip sheet offers key resources for researching employers, finding EDI-focused job postings, and understanding related legislation. Whether you're starting out or advancing your career, these tools will help you navigate EDI with insight and confidence.",https://successportal.conestogac.on.ca/students/docs/detail/294?filename=Equity%2C-Diversity-and-Inclusion-in-the-Workplace-Resources.pdf,doc
Writing Services Virtual Drop-in Schedule Spring 2025,Virtual drop-in schedule for Writing Services,https://successportal.conestogac.on.ca/students/docs/detail/293?filename=Virtual-Writing-Services-Drop-in.pdf,doc
Writing Services Drop-in Schedule Spring 2025,Writing Services In-Person Drop-In Hours,https://successportal.conestogac.on.ca/students/docs/detail/292?filename=Writing-Services-Drop-in.pdf,doc
Repeating Courses,definition of what it means for repeating courses,https://successportal.conestogac.on.ca/students/infoPages/detail/52/repeating-courses,link
Learning Plan and Learning Contract,definition of what a learning plan and learning contract are,https://successportal.conestogac.on.ca/students/infoPages/detail/51/learning-plan-and-learning-con,link
Cover Letters,"This resource explains the purpose and components of a cover letter, and provides a sample.",https://successportal.conestogac.on.ca/students/docs/detail/17?filename=Cover-Letters.pdf,doc
Medical Clinic Uninsured Services,Uninsured services offered by the Conestoga College Medical Clinic.,https://successportal.conestogac.on.ca/students/infoPages/detail/50/medical-clinic-uninsured-servi,link
The Job Offer,Negotiating a job offer can be stressful and intimidating. This resource provides some helpful tips for negotiating an offer of employment.,https://successportal.conestogac.on.ca/students/docs/detail/44?filename=The-Job-Offer.pdf,doc
Social Media Checklist,"As you prepare to enter the professional world, it's crucial to ensure your social media presence reflects your career goals. This checklist will guide you in transforming your online profiles into powerful tools to make a positive impression on potential employers and standing out in your field.",https://successportal.conestogac.on.ca/students/docs/detail/291?filename=Social-Media-Checklist-.pdf,doc
Job Searching with Social Media,"In today's digital age, social media is a powerful tool for job searching. Beyond connecting with friends, platforms like LinkedIn help you network with potential employers. This tip sheet will guide you on leveraging social media to enhance your job search and present your best professional self.",https://successportal.conestogac.on.ca/students/docs/detail/290?filename=Job-Searching-with-Social-Media-.pdf,doc
Managing Stress,"Learn how the stress cycle can impact you, and what you can do to overcome it.",https://successportal.conestogac.on.ca/students/docs/detail/288?filename=Stress-Inforgraphic_FINAL_DIGITAL.pdf,doc
Support for Discontinued Students,in-person and virtual drop-in support for discontinued students,https://successportal.conestogac.on.ca/students/infoPages/detail/48/support-for-discontinued-stude,link
Using Elevator Pitch in VMock,Learn how to use VMock to practice your interview skills or 30 second personal pitch.,https://successportal.conestogac.on.ca/students/videos/detail/38/using-elevator-pitch-in-vmock,link
Understanding VMock feedback,Learn how to upload a resume and understand the feedback that VMock gives you.,https://successportal.conestogac.on.ca/students/videos/detail/37/understanding-vmock-feedback,link
Volunteering: The Benefits and How to Find Opportunities,"Volunteering can significantly boost your future job prospects by helping you gain valuable experience, develop skills, build your resume, and establish a network of references. Curious to learn more? Check out this tip sheet to discover how volunteering can be a game-changer for your future!",https://successportal.conestogac.on.ca/students/docs/detail/287?filename=Volunteering-Benefits-and-Opportunities.pdf,doc
What is a Social Insurance Number and Why You Need One,"This document provides information on Social Insurance Numbers (SIN), how to apply for your SIN, why you need a SIN to work in Canada, and how to protect it from being used by others.",https://successportal.conestogac.on.ca/students/docs/detail/127?filename=Social-Insurance-Number.pdf,doc
Harm Reduction Approach to Substance Use,"Learn more information on this approach as well as resources, harm reduction strategies, and community contacts",https://successportal.conestogac.on.ca/students/docs/detail/283?filename=Harm-Reduction-Infographic_DIGITAL.pdf,doc
Following Up After a Job Fair or Networking Event,After you attend a job fair or a networking event it is important to follow up with key contacts you've made!   This tip sheet will help you understand how to do this in a timely and professionally manner.,https://successportal.conestogac.on.ca/students/docs/detail/285?filename=Job-Fair-and-Networking-Follow-Up.pdf,doc
Student Success Resources and Services,An overview of the services Student Success offers.,https://successportal.conestogac.on.ca/students/docs/detail/284?filename=Conestoga-Student-Services_Students.pdf,doc
Disability-Related Accommodation Process,"The academic accommodation process is a collaborative effort between students and Accessible Learning. The goal is to reach agreement on appropriate accommodations, ensuring students have equitable access to their education. Faculty may be involved in this process as experts in academic requirements.While we do not share students’ health...",https://successportal.conestogac.on.ca/students/faqs/detail/93/disability-related-accommodati,faq
Conestoga Laptop and Technology Orientation,,https://successportal.conestogac.on.ca/students/links/detail/91,link
Tech Help,,https://successportal.conestogac.on.ca/students/links/detail/90,link
TechFAQ,,https://successportal.conestogac.on.ca/students/links/detail/89,link
Digital Skills Toolkit,,https://successportal.conestogac.on.ca/students/links/detail/88,link
Before Your Assessment,Tips of what to do before writing in the Test Centre,https://successportal.conestogac.on.ca/students/infoPages/detail/42/before-your-assessment,link
After Your Assessment,What to expect after an assessment in the Test Centre,https://successportal.conestogac.on.ca/students/infoPages/detail/44/after-your-assessment,link
During Your Assessment,Considerations for during your assessment in the Test Centre,https://successportal.conestogac.on.ca/students/infoPages/detail/43/during-your-assessment,link
Student Rights & Responsibilities FAQs,"Who do I contact if I have an emergency or safety concern?If you feel unsafe or need immediate attention on-campus, contact Safety and Security.If you are off campus, contact emergency services by calling 911.If you are in crisis and need urgent mental health support, the following resources can help: 
Suicide Crisis Helpline (all of Canada):...",https://successportal.conestogac.on.ca/students/faqs/detail/92/student-rights-and-responsibil,faq
